CRICKET O -8.67251828825213
- O -13.873617328135193
LEICESTERSHIRE I-ORG -19.080653025226173
TAKE I-ORG -20.949390116348233
OVER I-ORG -23.057831212574975
AT O -30.65764674574869
TOP I-ORG -33.62280921474376
AFTER O -43.67429227913062
INNINGS I-ORG -46.639454748125694
VICTORY I-ORG -48.50819183924776
. O -52.07911778168366

LONDON I-LOC -6.673647192389261
1996-08-30 O -16.674703391247146

West I-MISC -9.809426955934672
Indian I-MISC -16.332531147236224
all-rounder O -19.11367288993358
Phil I-PER -29.75600015447109
Simmons I-PER -30.834646094284697
took O -38.64256853686966
four O -46.46600555561643
for O -51.41874588153798
38 O -60.72961852193398
on O -65.31212054255573
Friday O -72.31486790958208
as O -78.11585486256543
Leicestershire I-ORG -89.33904771935477
beat O -96.1413496093781
Somerset I-ORG -105.37398366635243
by O -111.41673592124017
an O -117.67716837163196
innings O -125.56092465638783
and O -129.8287306670525
39 O -139.39091773572943
runs O -147.5317191234752
in O -151.6043783213929
two O -157.95055079748263
days O -165.84773010257064
to O -169.9227519714043
take O -177.7419697350226
over O -184.34109531243507
at O -189.70715512457994
the O -193.02365079642095
head O -201.48722557642975
of O -205.49506974276983
the O -208.81156541461084
county O -218.61491454010465
championship O -226.96601133668676
. O -230.26316882103998

Their O -10.387316716344056
stay O -19.71796657418384
on O -24.300468594805597
top O -32.55046927451634
, O -35.85951458076881
though O -45.421701649445716
, O -48.73074695569819
may O -57.10334995750126
be O -63.041196093201805
short-lived O -65.50897050129564
as O -71.30995745427899
title O -80.21536498656683
rivals O -90.33716784317916
Essex I-ORG -101.0495350762025
, O -104.7737684060112
Derbyshire I-ORG -107.73893087500628
and O -112.42192490922717
Surrey I-ORG -121.11556246546881
all O -128.8799646233976
closed O -137.58471844346232
in O -141.65737764138
on O -146.23987966200178
victory O -154.1926288182446
while O -161.87208463948775
Kent I-ORG -173.21306053193345
made O -181.17553260362433
up O -187.91508307169906
for O -192.86782339762064
lost O -200.44409498262854
time O -207.6755260813447
in O -211.7481852792624
their O -218.10299090249686
rain-affected O -220.5707653105907
match O -227.98451796610084
against O -234.72193055936742
Nottinghamshire I-ORG -245.94512341615675
. O -249.6574689240662

After O -9.365665468812075
bowling O -11.958577610007513
Somerset I-ORG -23.43308489507775
out O -30.376194049754655
for O -35.61663343136703
83 O -45.87196768060388
on O -50.454469701225634
the O -53.770965373066616
opening O -62.538222566873635
morning O -71.00179734688243
at O -76.3678571590273
Grace I-PER -80.83369642829643
Road I-PER -81.91234236811005
, O -85.15879905894164
Leicestershire I-ORG -95.68710764835176
extended O -106.51178060097209
their O -113.15428527989734
first O -119.39452433856623
innings O -127.27828062332209
by O -132.90584485465362
94 O -135.37361926274747
runs O -143.51442065049324
before O -150.71171874283996
being O -158.45861584487864
bowled O -169.05042233073672
out O -175.5783434618574
for O -180.53108378777898
296 O -182.99885819587283
with O -188.46670070232764
England I-LOC -196.57742946360395
discard O -199.0755884695905
Andy I-PER -209.87190036137656
Caddick I-PER -210.95054630119017
taking O -219.17717907863332
three O -226.45948512411877
for O -231.41222545004035
83 O -241.6675596992772
. O -244.96471718363043

Trailing I-ORG -2.7409134898279643
by O -8.675945489975183
213 O -11.431418953759827
, O -14.740464260012304
Somerset I-ORG -26.21497154508254
got O -35.46410813694446
a O -39.948686025947865
solid O -42.416460434041696
start O -50.68587919960954
to O -54.760901068443175
their O -61.115706691677616
second O -67.94167268228561
innings O -75.82542896704147
before O -83.02272705938819
Simmons O -87.36455830298677
stepped O -97.36857812394271
in O -101.44123732186038
to O -105.51625919069403
bundle O -107.98403359878786
them O -115.56030518379575
out O -122.08822631491643
for O -127.04096664083798
174 O -129.5087410489318
. O -132.80589853328502

Essex I-ORG -8.246245025760327
, O -11.862758100828499
however O -21.95380628201311
, O -25.262851588265587
look O -34.825038656942496
certain O -44.72369796224062
to O -48.79871983107426
regain O -51.26649423916809
their O -57.62129986240253
top O -65.87130054211327
spot O -75.23933159634923
after O -81.28571790062497
Nasser I-PER -85.75155716989411
Hussain I-PER -93.51748982782496
and O -97.72270722306875
Peter I-PER -106.06936028816986
Such I-PER -107.14800622798347
gave O -115.2613103201196
them O -123.22194846037985
a O -127.41882729369244
firm O -136.48457747605545
grip O -138.9523518841493
on O -143.53485390477107
their O -149.88965952800552
match O -157.30341218351566
against O -164.04082477678224
Yorkshire I-ORG -174.89629285344625
at O -180.67754068914735
Headingley I-LOC -191.23589549928494
. O -194.56343758153088

Hussain I-PER -9.713927628454853
, O -13.643427212110057
considered O -23.831142892856214
surplus O -33.63449201835002
to O -37.709513887183654
England I-LOC -45.82024264845996
's O -50.74132148611042
one-day O -60.45356528310245
requirements O -62.92133969119628
, O -66.23038499744875
struck O -75.17353285771944
158 O -77.64130726581327
, O -80.95035257206574
his O -86.86373841019612
first O -93.10397746886501
championship O -101.45507426544712
century O -111.57687712205946
of O -115.58472128839952
the O -118.9012169602405
season O -126.70801220386024
, O -130.01705751011272
as O -135.81804446309607
Essex I-ORG -146.53041169611942
reached O -155.88874757994634
372 O -158.644221043731
and O -162.91202705439568
took O -170.78253811240154
a O -174.97941694571415
first O -181.21965600438307
innings O -189.10341228913893
lead O -196.9871685738948
